gc_id,name,url,city,state,country,revenue,size,sector,updated_at,created_at,image
gc_id104749,Global Gas,Unknown,Unknown,,NY,0,Unknown,Materials,58:53.2,58:53.2,
gc_id104750,AppTech Payments,apptechcorp.com,Carlsbad,CA,US,450000,SME,Information Technology,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/APCX.png
gc_id104751,Acasti Pharma,acastipharma.com,Laval,QC,CA,0,Unknown,Healthcare,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/ACST.png
gc_id104752,Cutera,cutera.com,Brisbane,CA,US,212369000,Upper Middle Market,Healthcare,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/CUTR.png
gc_id104753,Greenidge Generation Holdings,greenidge.com,Fairfield,CT,US,70446000,Lower Middle Market,Financials,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/GREE.png
gc_id104754,BioVie,bioviepharma.com,Carson City,NV,US,0,Unknown,Healthcare,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/BIVI.png
gc_id104755,ECD Automotive Design,Unknown,Kissimmee,,MA,19903198,Lower Middle Market,Consumer Discretionary,58:53.2,58:53.2,
gc_id104756,Data I/O,dataio.com,Redmond,WA,US,28064000,Lower Middle Market,Information Technology,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/DAIO.png
gc_id104757,BIT Mining,btcm.group,Hong Kong,,HK,650227000,Upper Middle Market,Information Technology,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/BTCM.png
gc_id104758,Fathom Digital Manufacturing,fathommfg.com,Hartland,WI,US,161141000,Upper Middle Market,Unknown,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/FATH.png
gc_id104759,Kentucky First Federal Bancorp,ffsbky.bank,Hazard,KY,US,9158000,SME,Financials,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/KFFB.png
gc_id104760,Dragonfly Energy Holdings,dragonflyenergy.com,Reno,NV,US,86251000,Lower Middle Market,Unknown,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/DFLI.png
gc_id104761,Streamline Health Solutions,streamlinehealth.net,Alpharetta,GA,US,24889000,Lower Middle Market,Healthcare,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/STRM.png
gc_id104762,Barnes & Noble Education,bned.com,Basking Ridge,NJ,US,1543208000,Enterprise,Consumer Discretionary,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/BNED.png
gc_id104763,BitFuFu,bitfufu.com,Unknown,,Unknown,250637919,Upper Middle Market,Financials,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/FUFU.png
gc_id104764,Servotronics,servotronics.com,Elma,NY,US,43629000,Lower Middle Market,Unknown,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/SVT.png
gc_id104765,Spruce Biosciences,sprucebiosciences.com,Daly City,CA,US,10089000,Lower Middle Market,Healthcare,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/SPRB.png
gc_id104766,"Team, Inc.",teaminc.com,Sugar Land,TX,US,862615000,Upper Middle Market,Unknown,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/TISI.png
gc_id104767,CERo Therapeutics Holdings,cero.bio,South San Francisco,CA,US,0,Unknown,Healthcare,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/CERO.png
gc_id104768,Orgenesis,orgenesis.com,Germantown,MD,US,36025000,Lower Middle Market,Healthcare,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/ORGS.png
gc_id104769,NeuroOne Medical Technologies,n1mtc.com,Eden Prairie,MN,US,1952441,SME,Unknown,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/NMTC.png
gc_id104770,Acurx Pharmaceuticals,acurxpharma.com,Staten Island,NY,US,0,Unknown,Healthcare,58:53.2,58:53.2,https://financialmodelingprep.com/image-stock/ACXP.png
